,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
287,288.0,김응국,1966-01-14,Lotte Giants,1988,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.2,11.0,11.0,92.0,24.0,0.0,0.0,1.0,13.0,0.0,2.0,6.0,0.0,0.0,5.03,4.92,1.88,76.1,77.9,0.16,0.0,0.08
288,289.0,강철원,1958-01-27,OB Bears,1985,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.1,2.0,2.0,24.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.38,2.03,1.5,105.6,175.7,0.16,0.0,0.08
289,290.0,황규봉,1953-04-24,Samsung Lions,1986,13.0,1.0,0.0,8.0,3.0,5.0,2.0,0.0,50.0,26.0,22.0,208.0,48.0,0.0,0.0,4.0,20.0,0.0,1.0,10.0,0.0,2.0,3.96,3.98,1.36,78.1,77.8,0.16,0.0,0.08
290,291.0,김준희,1960-05-16,Samsung Lions,1986,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.0,9.0,65.0,19.0,0.0,0.0,0.0,6.0,0.0,2.0,7.0,0.0,0.0,5.93,2.81,1.83,52.2,110.1,0.15,0.0,0.07
291,292.0,박상범,1965-07-07,Pacific Dolphins,1988,10.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,33.0,26.0,26.0,142.0,41.0,0.0,0.0,4.0,5.0,0.0,2.0,20.0,1.0,3.0,7.09,3.58,1.39,54.0,107.0,0.14,0.0,0.07
292,293.0,인호봉,1958-03-04,Samsung Lions,1983,10.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,38.0,22.0,18.0,159.0,36.0,0.0,0.0,6.0,16.0,0.0,2.0,14.0,0.0,1.0,4.26,4.79,1.37,78.6,69.9,0.14,0.0,0.07
293,294.0,이진우,1956-03-18,Lotte Giants,1983,27.0,0.0,0.0,12.0,4.0,9.0,0.0,0.0,85.2,51.0,47.0,371.0,83.0,0.0,0.0,10.0,41.0,1.0,6.0,33.0,0.0,4.0,4.94,4.42,1.45,66.8,74.7,0.13,0.0,0.07
294,295.0,방수원,1960-01-04,Haitai Tigers,1983,32.0,1.0,0.0,12.0,3.0,5.0,3.0,0.0,94.0,62.0,52.0,434.0,101.0,0.0,0.0,5.0,49.0,0.0,9.0,31.0,0.0,3.0,4.98,3.94,1.6,65.3,82.6,0.13,0.0,0.07
295,296.0,홍성연,1965-07-18,Samsung Lions,1988,13.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,52.2,42.0,39.0,243.0,71.0,0.0,0.0,2.0,19.0,0.0,3.0,12.0,1.0,3.0,6.66,3.87,1.71,57.9,99.7,0.12,0.0,0.07
296,297.0,정성만,1955-10-10,Samsung Lions,1984,29.0,3.0,0.0,19.0,8.0,10.0,1.0,0.0,150.0,86.0,81.0,666.0,148.0,0.0,0.0,20.0,83.0,3.0,6.0,67.0,1.0,3.0,4.86,4.7,1.54,69.0,71.4,0.12,0.0,0.07
